(1000, 128, 1) (1000, 128)
param count: 26177
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
epoch=240, train_loss: 0.005, train_l2: 1.737, test_l2: 1.554
epoch=241, train_loss: 0.002, train_l2: 1.205, test_l2: 1.176
epoch=242, train_loss: 0.004, train_l2: 1.313, test_l2: 1.268
epoch=243, train_loss: 0.006, train_l2: 2.009, test_l2: 1.211
epoch=244, train_loss: 0.003, train_l2: 1.391, test_l2: 0.870
epoch=245, train_loss: 0.004, train_l2: 1.661, test_l2: 0.773
epoch=246, train_loss: 0.002, train_l2: 1.007, test_l2: 0.655
epoch=247, train_loss: 0.002, train_l2: 1.151, test_l2: 0.782
epoch=248, train_loss: 0.001, train_l2: 0.713, test_l2: 0.684
epoch=249, train_loss: 0.005, train_l2: 1.778, test_l2: 1.733
epoch=250, train_loss: 0.006, train_l2: 1.643, test_l2: 1.533
epoch=251, train_loss: 0.004, train_l2: 1.610, test_l2: 1.265
epoch=252, train_loss: 0.002, train_l2: 1.159, test_l2: 1.051
epoch=253, train_loss: 0.001, train_l2: 0.727, test_l2: 0.903
epoch=254, train_loss: 0.003, train_l2: 1.139, test_l2: 1.174
epoch=255, train_loss: 0.005, train_l2: 1.841, test_l2: 1.425
epoch=256, train_loss: 0.003, train_l2: 1.414, test_l2: 0.919
epoch=257, train_loss: 0.001, train_l2: 0.879, test_l2: 0.802
epoch=258, train_loss: 0.002, train_l2: 1.046, test_l2: 0.679
epoch=259, train_loss: 0.001, train_l2: 0.991, test_l2: 0.851
epoch=260, train_loss: 0.003, train_l2: 1.182, test_l2: 0.885
epoch=261, train_loss: 0.002, train_l2: 0.747, test_l2: 0.721
epoch=262, train_loss: 0.003, train_l2: 1.204, test_l2: 1.215
epoch=263, train_loss: 0.001, train_l2: 0.731, test_l2: 0.746
epoch=264, train_loss: 0.002, train_l2: 1.089, test_l2: 0.984
epoch=265, train_loss: 0.004, train_l2: 1.415, test_l2: 1.491
epoch=266, train_loss: 0.015, train_l2: 2.847, test_l2: 1.906
epoch=267, train_loss: 0.002, train_l2: 1.214, test_l2: 0.999
epoch=268, train_loss: 0.006, train_l2: 1.978, test_l2: 1.191
epoch=269, train_loss: 0.001, train_l2: 0.813, test_l2: 0.694
epoch=270, train_loss: 0.001, train_l2: 0.864, test_l2: 0.626
epoch=271, train_loss: 0.001, train_l2: 0.802, test_l2: 0.668
epoch=272, train_loss: 0.000, train_l2: 0.510, test_l2: 0.587
epoch=273, train_loss: 0.001, train_l2: 0.564, test_l2: 0.676
epoch=274, train_loss: 0.001, train_l2: 0.683, test_l2: 0.523
epoch=275, train_loss: 0.001, train_l2: 0.712, test_l2: 0.602
